"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:37:22 GMT 2024","Tue Feb 13 13:37:23 GMT 2024","652","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Tue Feb 13 13:35:56 GMT 2024","Tue Feb 13 13:36:08 GMT 2024","11807","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Tue Feb 13 13:36:31 GMT 2024","Tue Feb 13 13:36:35 GMT 2024","3948","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:38:26 GMT 2024","Tue Feb 13 13:38:37 GMT 2024","11567","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Tue Feb 13 13:36:29 GMT 2024","Tue Feb 13 13:36:29 GMT 2024","700","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"failed","Tue Feb 13 13:36:25 GMT 2024","Tue Feb 13 13:36:36 GMT 2024","11235","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Tue Feb 13 13:35:56 GMT 2024","Tue Feb 13 13:36:00 GMT 2024","4337","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Tue Feb 13 13:36:08 GMT 2024","Tue Feb 13 13:36:14 GMT 2024","6401","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:37:36 GMT 2024","Tue Feb 13 13:37:38 GMT 2024","2084","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Tue Feb 13 13:39:19 GMT 2024","Tue Feb 13 13:39:31 GMT 2024","12259","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Tue Feb 13 13:36:10 GMT 2024","Tue Feb 13 13:36:11 GMT 2024","1362","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Tue Feb 13 13:35:50 GMT 2024","Tue Feb 13 13:35:55 GMT 2024","4382","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Tue Feb 13 13:37:09 GMT 2024","Tue Feb 13 13:37:10 GMT 2024","686","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Tue Feb 13 13:36:13 GMT 2024","Tue Feb 13 13:36:24 GMT 2024","11282","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Tue Feb 13 13:35:55 GMT 2024","Tue Feb 13 13:35:56 GMT 2024","1760","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Tue Feb 13 13:36:37 GMT 2024","Tue Feb 13 13:36:38 GMT 2024","1039","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Tue Feb 13 13:36:01 GMT 2024","Tue Feb 13 13:36:04 GMT 2024","2336","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Tue Feb 13 13:36:42 GMT 2024","Tue Feb 13 13:36:56 GMT 2024","13547","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Tue Feb 13 13:36:19 GMT 2024","Tue Feb 13 13:36:27 GMT 2024","7928","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:37:50 GMT 2024","Tue Feb 13 13:38:12 GMT 2024","21967","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Tue Feb 13 13:38:50 GMT 2024","Tue Feb 13 13:39:06 GMT 2024","15531","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Tue Feb 13 13:36:03 GMT 2024","Tue Feb 13 13:36:15 GMT 2024","11934","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
