"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 13:48:35 GMT 2024","Tue Feb 13 13:48:39 GMT 2024","4329","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Tue Feb 13 13:48:35 GMT 2024","Tue Feb 13 13:48:46 GMT 2024","11345","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Tue Feb 13 13:49:11 GMT 2024","Tue Feb 13 13:49:14 GMT 2024","2857","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Tue Feb 13 13:49:10 GMT 2024","Tue Feb 13 13:49:12 GMT 2024","1789","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Tue Feb 13 13:48:49 GMT 2024","Tue Feb 13 13:48:55 GMT 2024","6315","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Tue Feb 13 13:48:48 GMT 2024","Tue Feb 13 13:48:49 GMT 2024","1341","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Tue Feb 13 13:48:51 GMT 2024","Tue Feb 13 13:49:02 GMT 2024","11247","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Tue Feb 13 13:49:45 GMT 2024","Tue Feb 13 13:49:53 GMT 2024","8407","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Tue Feb 13 13:48:35 GMT 2024","Tue Feb 13 13:48:37 GMT 2024","2307","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Tue Feb 13 13:49:19 GMT 2024","Tue Feb 13 13:49:32 GMT 2024","13120","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Tue Feb 13 13:49:36 GMT 2024","Tue Feb 13 13:49:38 GMT 2024","2463","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Tue Feb 13 13:48:32 GMT 2024","Tue Feb 13 13:48:38 GMT 2024","5229","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Tue Feb 13 13:49:15 GMT 2024","Tue Feb 13 13:49:19 GMT 2024","3665","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:48:42 GMT 2024","Tue Feb 13 13:48:43 GMT 2024","918","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Tue Feb 13 13:49:04 GMT 2024","Tue Feb 13 13:49:08 GMT 2024","4348","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Tue Feb 13 13:49:05 GMT 2024","Tue Feb 13 13:49:06 GMT 2024","741","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Tue Feb 13 13:49:04 GMT 2024","Tue Feb 13 13:49:09 GMT 2024","4660","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:48:43 GMT 2024","Tue Feb 13 13:48:47 GMT 2024","3564","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Tue Feb 13 13:50:15 GMT 2024","Tue Feb 13 13:50:18 GMT 2024","3030","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Tue Feb 13 13:48:53 GMT 2024","Tue Feb 13 13:48:58 GMT 2024","4945","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 13:49:00 GMT 2024","Tue Feb 13 13:49:01 GMT 2024","1170","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Tue Feb 13 13:48:29 GMT 2024","Tue Feb 13 13:48:32 GMT 2024","3520","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
