"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 19:38:44 GMT 2024","Fri Feb 16 19:38:45 GMT 2024","704","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Fri Feb 16 19:38:30 GMT 2024","Fri Feb 16 19:38:35 GMT 2024","5149","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Fri Feb 16 19:38:38 GMT 2024","Fri Feb 16 19:38:49 GMT 2024","11449","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"failed","Fri Feb 16 19:38:20 GMT 2024","Fri Feb 16 19:38:34 GMT 2024","13721","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Fri Feb 16 19:39:13 GMT 2024","Fri Feb 16 19:39:15 GMT 2024","2135","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Fri Feb 16 19:38:21 GMT 2024","Fri Feb 16 19:38:33 GMT 2024","11850","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Fri Feb 16 19:38:56 GMT 2024","Fri Feb 16 19:38:58 GMT 2024","1940","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Fri Feb 16 19:38:15 GMT 2024","Fri Feb 16 19:38:19 GMT 2024","3971","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Fri Feb 16 19:38:46 GMT 2024","Fri Feb 16 19:38:50 GMT 2024","3373","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 19:38:51 GMT 2024","Fri Feb 16 19:38:54 GMT 2024","3666","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Fri Feb 16 19:38:20 GMT 2024","Fri Feb 16 19:38:23 GMT 2024","2217","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Fri Feb 16 19:38:34 GMT 2024","Fri Feb 16 19:38:36 GMT 2024","1627","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Fri Feb 16 19:38:18 GMT 2024","Fri Feb 16 19:38:21 GMT 2024","3302","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Fri Feb 16 19:38:28 GMT 2024","Fri Feb 16 19:38:31 GMT 2024","2956","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Fri Feb 16 19:39:18 GMT 2024","Fri Feb 16 19:39:25 GMT 2024","7020","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Fri Feb 16 19:39:35 GMT 2024","Fri Feb 16 19:39:37 GMT 2024","2717","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Fri Feb 16 19:38:49 GMT 2024","Fri Feb 16 19:38:52 GMT 2024","2923","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Fri Feb 16 19:38:56 GMT 2024","Fri Feb 16 19:39:10 GMT 2024","13536","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Fri Feb 16 19:38:40 GMT 2024","Fri Feb 16 19:38:41 GMT 2024","1095","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Fri Feb 16 19:38:36 GMT 2024","Fri Feb 16 19:38:41 GMT 2024","5263","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 19:38:26 GMT 2024","Fri Feb 16 19:38:26 GMT 2024","735","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Fri Feb 16 19:38:55 GMT 2024","Fri Feb 16 19:38:59 GMT 2024","4265","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
