"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 12:23:09 GMT 2024","Fri Feb 16 12:23:14 GMT 2024","5663","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Fri Feb 16 12:22:43 GMT 2024","Fri Feb 16 12:22:44 GMT 2024","894","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Fri Feb 16 12:22:35 GMT 2024","Fri Feb 16 12:22:38 GMT 2024","3367","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Fri Feb 16 12:22:38 GMT 2024","Fri Feb 16 12:22:42 GMT 2024","4230","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Fri Feb 16 12:22:56 GMT 2024","Fri Feb 16 12:22:57 GMT 2024","1271","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Fri Feb 16 12:23:15 GMT 2024","Fri Feb 16 12:23:17 GMT 2024","1244","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Fri Feb 16 12:23:27 GMT 2024","Fri Feb 16 12:23:29 GMT 2024","1985","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Fri Feb 16 12:23:11 GMT 2024","Fri Feb 16 12:23:24 GMT 2024","12710","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Fri Feb 16 12:23:01 GMT 2024","Fri Feb 16 12:23:02 GMT 2024","793","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Fri Feb 16 12:23:42 GMT 2024","Fri Feb 16 12:23:44 GMT 2024","2603","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Fri Feb 16 12:22:33 GMT 2024","Fri Feb 16 12:22:36 GMT 2024","3166","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Fri Feb 16 12:22:47 GMT 2024","Fri Feb 16 12:22:51 GMT 2024","4336","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Fri Feb 16 12:23:32 GMT 2024","Fri Feb 16 12:23:38 GMT 2024","5888","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Fri Feb 16 12:23:04 GMT 2024","Fri Feb 16 12:23:08 GMT 2024","4455","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 12:22:52 GMT 2024","Fri Feb 16 12:22:54 GMT 2024","1981","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Fri Feb 16 12:23:05 GMT 2024","Fri Feb 16 12:23:07 GMT 2024","2419","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Fri Feb 16 12:22:55 GMT 2024","Fri Feb 16 12:23:07 GMT 2024","11627","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Fri Feb 16 12:22:53 GMT 2024","Fri Feb 16 12:22:59 GMT 2024","6008","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 12:22:46 GMT 2024","Fri Feb 16 12:22:48 GMT 2024","2336","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Fri Feb 16 12:22:38 GMT 2024","Fri Feb 16 12:22:40 GMT 2024","2130","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Fri Feb 16 12:23:14 GMT 2024","Fri Feb 16 12:23:19 GMT 2024","4692","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Fri Feb 16 12:22:39 GMT 2024","Fri Feb 16 12:22:50 GMT 2024","11837","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
