"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 10:59:07 GMT 2024","Tue Feb 13 10:59:12 GMT 2024","5096","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Tue Feb 13 10:59:34 GMT 2024","Tue Feb 13 10:59:34 GMT 2024","691","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Tue Feb 13 10:59:39 GMT 2024","Tue Feb 13 10:59:43 GMT 2024","3674","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Tue Feb 13 10:59:29 GMT 2024","Tue Feb 13 10:59:30 GMT 2024","965","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Tue Feb 13 10:59:22 GMT 2024","Tue Feb 13 10:59:24 GMT 2024","1454","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Tue Feb 13 10:59:36 GMT 2024","Tue Feb 13 10:59:40 GMT 2024","3878","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 10:59:20 GMT 2024","Tue Feb 13 10:59:25 GMT 2024","5133","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Tue Feb 13 10:59:16 GMT 2024","Tue Feb 13 10:59:19 GMT 2024","2815","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Tue Feb 13 10:59:09 GMT 2024","Tue Feb 13 10:59:12 GMT 2024","3479","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Tue Feb 13 10:59:15 GMT 2024","Tue Feb 13 10:59:16 GMT 2024","959","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Tue Feb 13 10:59:03 GMT 2024","Tue Feb 13 10:59:07 GMT 2024","4187","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Tue Feb 13 11:00:05 GMT 2024","Tue Feb 13 11:00:16 GMT 2024","11176","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Tue Feb 13 10:59:08 GMT 2024","Tue Feb 13 10:59:10 GMT 2024","2336","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Tue Feb 13 10:59:38 GMT 2024","Tue Feb 13 10:59:44 GMT 2024","5851","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Tue Feb 13 10:59:46 GMT 2024","Tue Feb 13 10:59:50 GMT 2024","4022","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 10:59:26 GMT 2024","Tue Feb 13 10:59:37 GMT 2024","11759","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Tue Feb 13 11:00:35 GMT 2024","Tue Feb 13 11:00:39 GMT 2024","3477","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Tue Feb 13 10:59:24 GMT 2024","Tue Feb 13 10:59:30 GMT 2024","5528","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Tue Feb 13 10:59:57 GMT 2024","Tue Feb 13 10:59:59 GMT 2024","2589","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Tue Feb 13 10:59:49 GMT 2024","Tue Feb 13 10:59:53 GMT 2024","4534","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Tue Feb 13 10:59:09 GMT 2024","Tue Feb 13 10:59:21 GMT 2024","11707","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Tue Feb 13 10:59:44 GMT 2024","Tue Feb 13 10:59:47 GMT 2024","2624","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
