"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 16:24:48 GMT 2024","Mon Feb 19 16:24:49 GMT 2024","1734","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Mon Feb 19 16:24:47 GMT 2024","Mon Feb 19 16:24:53 GMT 2024","6235","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 19 16:24:34 GMT 2024","Mon Feb 19 16:24:46 GMT 2024","12275","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Mon Feb 19 16:24:57 GMT 2024","Mon Feb 19 16:24:58 GMT 2024","1041","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Mon Feb 19 16:24:29 GMT 2024","Mon Feb 19 16:24:33 GMT 2024","4186","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Mon Feb 19 16:25:04 GMT 2024","Mon Feb 19 16:25:08 GMT 2024","4027","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Mon Feb 19 16:24:58 GMT 2024","Mon Feb 19 16:25:04 GMT 2024","5852","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 19 16:25:10 GMT 2024","Mon Feb 19 16:25:12 GMT 2024","2014","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Mon Feb 19 16:24:31 GMT 2024","Mon Feb 19 16:24:33 GMT 2024","1955","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"passed","Mon Feb 19 16:24:43 GMT 2024","Mon Feb 19 16:24:48 GMT 2024","4707","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Mon Feb 19 16:24:39 GMT 2024","Mon Feb 19 16:24:40 GMT 2024","919","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Mon Feb 19 16:25:04 GMT 2024","Mon Feb 19 16:25:07 GMT 2024","3127","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Mon Feb 19 16:24:52 GMT 2024","Mon Feb 19 16:24:53 GMT 2024","942","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen11Characters","Try to create new project with too long project code",""
"passed","Mon Feb 19 16:25:35 GMT 2024","Mon Feb 19 16:25:41 GMT 2024","6111","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
"passed","Mon Feb 19 16:25:09 GMT 2024","Mon Feb 19 16:25:14 GMT 2024","4497","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 19 16:25:29 GMT 2024","Mon Feb 19 16:25:32 GMT 2024","2469","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Mon Feb 19 16:24:27 GMT 2024","Mon Feb 19 16:24:32 GMT 2024","5203","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Mon Feb 19 16:24:32 GMT 2024","Mon Feb 19 16:24:37 GMT 2024","4279","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanShouldBeCreated","Test Plan positive creation",""
"passed","Mon Feb 19 16:25:12 GMT 2024","Mon Feb 19 16:25:26 GMT 2024","14157","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Mon Feb 19 16:24:39 GMT 2024","Mon Feb 19 16:24:42 GMT 2024","3031","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Mon Feb 19 16:25:45 GMT 2024","Mon Feb 19 16:25:48 GMT 2024","2937","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Mon Feb 19 16:24:51 GMT 2024","Mon Feb 19 16:25:03 GMT 2024","11569","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
