"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 12:39:22 GMT 2024","Mon Feb 12 12:39:23 GMT 2024","956","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeMoreThen1Character","Try to create new project with too short project code",""
"passed","Mon Feb 12 12:39:11 GMT 2024","Mon Feb 12 12:39:12 GMT 2024","1549","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailMustMatchEmailFormat","Email must match email format",""
"passed","Mon Feb 12 12:39:25 GMT 2024","Mon Feb 12 12:39:30 GMT 2024","4414","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 12 12:38:51 GMT 2024","Mon Feb 12 12:38:56 GMT 2024","5351","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","credentialsShouldBeCorrect","Credentials should be correct",""
"passed","Mon Feb 12 12:38:56 GMT 2024","Mon Feb 12 12:39:04 GMT 2024","8465","QaseIO smoke test","Thread #4","tests.TestPlanTest","tests.TestPlanTest","testPlanCreationTest","testPlanCreationTest",""
"passed","Mon Feb 12 12:39:14 GMT 2024","Mon Feb 12 12:39:25 GMT 2024","11828","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","passwordFieldShouldBeMandatory","Password field should be mandatory",""
"passed","Mon Feb 12 12:39:16 GMT 2024","Mon Feb 12 12:39:20 GMT 2024","4494","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 12 12:39:54 GMT 2024","Mon Feb 12 12:39:56 GMT 2024","2360","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","sameProjectCodeExists","Try to create new project with existing project code in use",""
"passed","Mon Feb 12 12:39:08 GMT 2024","Mon Feb 12 12:39:13 GMT 2024","5064","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","pageNavigationButtonsShouldChangeListOfProjects","Page navigation should work correctly",""
"passed","Mon Feb 12 12:39:27 GMT 2024","Mon Feb 12 12:39:32 GMT 2024","4122","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login to Qase",""
"passed","Mon Feb 12 12:39:39 GMT 2024","Mon Feb 12 12:39:42 GMT 2024","2680","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldNotBeRemovedIfDeletionConfirmationWasCanceled","Project should not be deleted if deletion confirmation was canceled",""
"passed","Mon Feb 12 12:39:08 GMT 2024","Mon Feb 12 12:39:10 GMT 2024","2592","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBelongToItsSuite","Test Case should belong to it's test suite",""
"passed","Mon Feb 12 12:39:26 GMT 2024","Mon Feb 12 12:39:30 GMT 2024","3241","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Create new project",""
"passed","Mon Feb 12 12:39:17 GMT 2024","Mon Feb 12 12:39:18 GMT 2024","1361","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectCodeShouldBeLessThen10Characters","Try to create new project with too long project code",""
"passed","Mon Feb 12 12:38:56 GMT 2024","Mon Feb 12 12:39:01 GMT 2024","4787","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldBeCreated","Test Case should be created",""
"failed","Mon Feb 12 12:39:33 GMT 2024","Mon Feb 12 12:39:37 GMT 2024","3271","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeRemovedIfItWasDeleted","Project should be removed if it was deleted",""
"passed","Mon Feb 12 12:38:53 GMT 2024","Mon Feb 12 12:39:01 GMT 2024","7632","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","createdProjectShouldBeDisplayedInProjectsList","Created project displayed in projects list",""
"passed","Mon Feb 12 12:38:58 GMT 2024","Mon Feb 12 12:39:09 GMT 2024","11421","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","emailFieldShouldBeMandatory","Email field should be mandatory",""
"passed","Mon Feb 12 12:39:35 GMT 2024","Mon Feb 12 12:39:39 GMT 2024","3981","QaseIO smoke test","Thread #3","tests.TestCasesTest","tests.TestCasesTest","testCaseShouldHasCorrectSpecs","Create Test Cases with different values",""
"passed","Mon Feb 12 12:39:33 GMT 2024","Mon Feb 12 12:39:35 GMT 2024","1694","QaseIO smoke test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeForcedToChangePasswordIfItsLeaked","The user should be forced to change password if it's information is leaked",""
"passed","Mon Feb 12 12:39:04 GMT 2024","Mon Feb 12 12:39:05 GMT 2024","815","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","incorrectProjectCodeFormat","Try to create new project with too long project code",""
"passed","Mon Feb 12 12:39:45 GMT 2024","Mon Feb 12 12:39:51 GMT 2024","6557","QaseIO smoke test","Thread #2","tests.ProjectsTest","tests.ProjectsTest","rowsPerPageDefinesNumberOfProjectsDisplayedOnPage","Rows per page defines number of projects displayed on page",""
